source,source_term,setid,title,published_date,product_name,generic_name,active_ingredients,strengths,ndcs,package_descriptions,structured_text
DailyMed,budesonide,4a8e79df-3946-4e9a-b214-e9fdd824b565,"BUDESONIDE CAPSULE, COATED PELLETS [AMERICAN HEALTH PACKAGING]","Mar 30, 2026",Budesonide,Budesonide,BUDESONIDE,3 mg,60687-596-32 | 60687-596-33,"20 in 1 BOX, UNIT-DOSE | 1 in 1 BLISTER PACK","TYPE: DAILMED_PRODUCT
PRODUCT_NAME: Budesonide
GENERIC_NAME: Budesonide
ACTIVE_INGREDIENTS: BUDESONIDE
STRENGTHS: 3 mg
NDCS: 60687-596-32 | 60687-596-33
PACKAGE_DESCRIPTIONS: 20 in 1 BOX, UNIT-DOSE | 1 in 1 BLISTER PACK
PUBLISHED_DATE: Mar 30, 2026
TITLE: BUDESONIDE CAPSULE, COATED PELLETS [AMERICAN HEALTH PACKAGING]
SETID: 4a8e79df-3946-4e9a-b214-e9fdd824b565
SOURCE: DailyMed"
DailyMed,budesonide,1d139a25-9c17-4b3e-8ffd-b2d562cc00ee,BUDESONIDE INHALATION (BUDESONIDE) SUSPENSION [PREFERRED PHARMACEUTICALS INC.],"Mar 23, 2026",Budesonide Inhalation,Budesonide,BUDESONIDE,0.25 mg in 2 mL,68788-8429-3,6 in 1 CARTON | 5 in 1 POUCH | 2 mL in 1 VIAL,"TYPE: DAILMED_PRODUCT
PRODUCT_NAME: Budesonide Inhalation
GENERIC_NAME: Budesonide
ACTIVE_INGREDIENTS: BUDESONIDE
STRENGTHS: 0.25 mg in 2 mL
NDCS: 68788-8429-3
PACKAGE_DESCRIPTIONS: 6 in 1 CARTON | 5 in 1 POUCH | 2 mL in 1 VIAL
PUBLISHED_DATE: Mar 23, 2026
TITLE: BUDESONIDE INHALATION (BUDESONIDE) SUSPENSION [PREFERRED PHARMACEUTICALS INC.]
SETID: 1d139a25-9c17-4b3e-8ffd-b2d562cc00ee
SOURCE: DailyMed"
DailyMed,formoterol budesonide,dc529fc4-bddb-4673-8202-dc401f86166f,"BREYNA (BUDESONIDE AND FORMOTEROL FUMARATE) AEROSOL, METERED [MYLAN PHARMACEUTICALS INC.]","Mar 18, 2026",BREYNA,Budesonide and Formoterol Fumarate,budesonide | budesonide | Formoterol Fumarate,160 ug | 80 ug | 4.5 ug,0378-7502-32,1 in 1 CARTON | 1 in 1 POUCH | 120 in 1 CANISTER,"TYPE: DAILMED_PRODUCT
PRODUCT_NAME: BREYNA
GENERIC_NAME: Budesonide and Formoterol Fumarate
ACTIVE_INGREDIENTS: budesonide | budesonide | Formoterol Fumarate
STRENGTHS: 160 ug | 80 ug | 4.5 ug
NDCS: 0378-7502-32
PACKAGE_DESCRIPTIONS: 1 in 1 CARTON | 1 in 1 POUCH | 120 in 1 CANISTER
PUBLISHED_DATE: Mar 18, 2026
TITLE: BREYNA (BUDESONIDE AND FORMOTEROL FUMARATE) AEROSOL, METERED [MYLAN PHARMACEUTICALS INC.]
SETID: dc529fc4-bddb-4673-8202-dc401f86166f
SOURCE: DailyMed"
DailyMed,formoterol budesonide,dc529fc4-bddb-4673-8202-dc401f86166f,"BREYNA (BUDESONIDE AND FORMOTEROL FUMARATE) AEROSOL, METERED [MYLAN PHARMACEUTICALS INC.]","Mar 18, 2026",BREYNA,Budesonide and Formoterol Fumarate,budesonide | budesonide | Formoterol Fumarate,160 ug | 80 ug | 4.5 ug,0378-7503-32,1 in 1 CARTON | 1 in 1 POUCH | 120 in 1 CANISTER,"TYPE: DAILMED_PRODUCT
PRODUCT_NAME: BREYNA
GENERIC_NAME: Budesonide and Formoterol Fumarate
ACTIVE_INGREDIENTS: budesonide | budesonide | Formoterol Fumarate
STRENGTHS: 160 ug | 80 ug | 4.5 ug
NDCS: 0378-7503-32
PACKAGE_DESCRIPTIONS: 1 in 1 CARTON | 1 in 1 POUCH | 120 in 1 CANISTER
PUBLISHED_DATE: Mar 18, 2026
TITLE: BREYNA (BUDESONIDE AND FORMOTEROL FUMARATE) AEROSOL, METERED [MYLAN PHARMACEUTICALS INC.]
SETID: dc529fc4-bddb-4673-8202-dc401f86166f
SOURCE: DailyMed"
DailyMed,formoterol budesonide,a645756c-c692-4bc6-a858-7e7e249561bd,SYMBICORT (BUDESONIDE AND FORMOTEROL FUMARATE DIHYDRATE) AEROSOL [SPORTPHARM LLC],"Mar 16, 2026",SYMBICORT,Budesonide and Formoterol Fumarate Dihydrate,BUDESONIDE | FORMOTEROL FUMARATE,80 ug | 4.5 ug,85766-184-28,1 in 1 CARTON | 1 in 1 POUCH | 60 in 1 CANISTER,"TYPE: DAILMED_PRODUCT
PRODUCT_NAME: SYMBICORT
GENERIC_NAME: Budesonide and Formoterol Fumarate Dihydrate
ACTIVE_INGREDIENTS: BUDESONIDE | FORMOTEROL FUMARATE
STRENGTHS: 80 ug | 4.5 ug
NDCS: 85766-184-28
PACKAGE_DESCRIPTIONS: 1 in 1 CARTON | 1 in 1 POUCH | 60 in 1 CANISTER
PUBLISHED_DATE: Mar 16, 2026
TITLE: SYMBICORT (BUDESONIDE AND FORMOTEROL FUMARATE DIHYDRATE) AEROSOL [SPORTPHARM LLC]
SETID: a645756c-c692-4bc6-a858-7e7e249561bd
SOURCE: DailyMed"
DailyMed,salmeterol fluticasone,4eeb5f6a-593f-4a9e-9692-adefa2caf8fc,ADVAIR DISKUS (FLUTICASONE PROPIONATE AND SALMETEROL) POWDER [GLAXOSMITHKLINE LLC],"Mar 30, 2026",ADVAIRDISKUS,fluticasone propionate and salmeterol,SALMETEROL XINAFOATE | FLUTICASONE PROPIONATE | FLUTICASONE PROPIONATE | FLUTICASONE PROPIONATE,50 ug | 100 ug | 250 ug | 500 ug,0173-0695-00 | 0173-0695-04,1 in 1 CARTON | 60 in 1 INHALER | 1 in 1 CARTON | 14 in 1 INHALER,"TYPE: DAILMED_PRODUCT
PRODUCT_NAME: ADVAIRDISKUS
GENERIC_NAME: fluticasone propionate and salmeterol
ACTIVE_INGREDIENTS: SALMETEROL XINAFOATE | FLUTICASONE PROPIONATE | FLUTICASONE PROPIONATE | FLUTICASONE PROPIONATE
STRENGTHS: 50 ug | 100 ug | 250 ug | 500 ug
NDCS: 0173-0695-00 | 0173-0695-04
PACKAGE_DESCRIPTIONS: 1 in 1 CARTON | 60 in 1 INHALER | 1 in 1 CARTON | 14 in 1 INHALER
PUBLISHED_DATE: Mar 30, 2026
TITLE: ADVAIR DISKUS (FLUTICASONE PROPIONATE AND SALMETEROL) POWDER [GLAXOSMITHKLINE LLC]
SETID: 4eeb5f6a-593f-4a9e-9692-adefa2caf8fc
SOURCE: DailyMed"
DailyMed,salmeterol fluticasone,4eeb5f6a-593f-4a9e-9692-adefa2caf8fc,ADVAIR DISKUS (FLUTICASONE PROPIONATE AND SALMETEROL) POWDER [GLAXOSMITHKLINE LLC],"Mar 30, 2026",ADVAIRDISKUS,fluticasone propionate and salmeterol,SALMETEROL XINAFOATE | FLUTICASONE PROPIONATE | FLUTICASONE PROPIONATE | FLUTICASONE PROPIONATE,50 ug | 100 ug | 250 ug | 500 ug,0173-0696-00 | 0173-0696-04,1 in 1 CARTON | 60 in 1 INHALER | 1 in 1 CARTON | 14 in 1 INHALER,"TYPE: DAILMED_PRODUCT
PRODUCT_NAME: ADVAIRDISKUS
GENERIC_NAME: fluticasone propionate and salmeterol
ACTIVE_INGREDIENTS: SALMETEROL XINAFOATE | FLUTICASONE PROPIONATE | FLUTICASONE PROPIONATE | FLUTICASONE PROPIONATE
STRENGTHS: 50 ug | 100 ug | 250 ug | 500 ug
NDCS: 0173-0696-00 | 0173-0696-04
PACKAGE_DESCRIPTIONS: 1 in 1 CARTON | 60 in 1 INHALER | 1 in 1 CARTON | 14 in 1 INHALER
PUBLISHED_DATE: Mar 30, 2026
TITLE: ADVAIR DISKUS (FLUTICASONE PROPIONATE AND SALMETEROL) POWDER [GLAXOSMITHKLINE LLC]
SETID: 4eeb5f6a-593f-4a9e-9692-adefa2caf8fc
SOURCE: DailyMed"
DailyMed,salmeterol fluticasone,4eeb5f6a-593f-4a9e-9692-adefa2caf8fc,ADVAIR DISKUS (FLUTICASONE PROPIONATE AND SALMETEROL) POWDER [GLAXOSMITHKLINE LLC],"Mar 30, 2026",ADVAIRDISKUS,fluticasone propionate and salmeterol,SALMETEROL XINAFOATE | FLUTICASONE PROPIONATE | FLUTICASONE PROPIONATE | FLUTICASONE PROPIONATE,50 ug | 100 ug | 250 ug | 500 ug,0173-0697-00 | 0173-0697-04,1 in 1 CARTON | 60 in 1 INHALER | 1 in 1 CARTON | 14 in 1 INHALER,"TYPE: DAILMED_PRODUCT
PRODUCT_NAME: ADVAIRDISKUS
GENERIC_NAME: fluticasone propionate and salmeterol
ACTIVE_INGREDIENTS: SALMETEROL XINAFOATE | FLUTICASONE PROPIONATE | FLUTICASONE PROPIONATE | FLUTICASONE PROPIONATE
STRENGTHS: 50 ug | 100 ug | 250 ug | 500 ug
NDCS: 0173-0697-00 | 0173-0697-04
PACKAGE_DESCRIPTIONS: 1 in 1 CARTON | 60 in 1 INHALER | 1 in 1 CARTON | 14 in 1 INHALER
PUBLISHED_DATE: Mar 30, 2026
TITLE: ADVAIR DISKUS (FLUTICASONE PROPIONATE AND SALMETEROL) POWDER [GLAXOSMITHKLINE LLC]
SETID: 4eeb5f6a-593f-4a9e-9692-adefa2caf8fc
SOURCE: DailyMed"
DailyMed,salmeterol fluticasone,666c5b12-a4f7-4c53-8261-4742b5e5a6df,"FLUTICASONE PROPIONATE AND SALMETEROL HFA (FLUTICASONE PROPIONATE AND SALMETEROL XINAFOATE) AEROSOL, METERED [PRASCO LABORATORIES]","Mar 19, 2026",Fluticasone Propionate and Salmeterol HFA,fluticasone propionate and salmeterol xinafoate,FLUTICASONE PROPIONATE | FLUTICASONE PROPIONATE | FLUTICASONE PROPIONATE | SALMETEROL XINAFOATE,115 ug | 230 ug | 45 ug | 21 ug,66993-086-96,1 in 1 CARTON | 120 in 1 INHALER,"TYPE: DAILMED_PRODUCT
PRODUCT_NAME: Fluticasone Propionate and Salmeterol HFA
GENERIC_NAME: fluticasone propionate and salmeterol xinafoate
ACTIVE_INGREDIENTS: FLUTICASONE PROPIONATE | FLUTICASONE PROPIONATE | FLUTICASONE PROPIONATE | SALMETEROL XINAFOATE
STRENGTHS: 115 ug | 230 ug | 45 ug | 21 ug
NDCS: 66993-086-96
PACKAGE_DESCRIPTIONS: 1 in 1 CARTON | 120 in 1 INHALER
PUBLISHED_DATE: Mar 19, 2026
TITLE: FLUTICASONE PROPIONATE AND SALMETEROL HFA (FLUTICASONE PROPIONATE AND SALMETEROL XINAFOATE) AEROSOL, METERED [PRASCO LABORATORIES]
SETID: 666c5b12-a4f7-4c53-8261-4742b5e5a6df
SOURCE: DailyMed"
DailyMed,salmeterol fluticasone,666c5b12-a4f7-4c53-8261-4742b5e5a6df,"FLUTICASONE PROPIONATE AND SALMETEROL HFA (FLUTICASONE PROPIONATE AND SALMETEROL XINAFOATE) AEROSOL, METERED [PRASCO LABORATORIES]","Mar 19, 2026",Fluticasone Propionate and Salmeterol HFA,fluticasone propionate and salmeterol xinafoate,FLUTICASONE PROPIONATE | FLUTICASONE PROPIONATE | FLUTICASONE PROPIONATE | SALMETEROL XINAFOATE,115 ug | 230 ug | 45 ug | 21 ug,66993-087-96,1 in 1 CARTON | 120 in 1 INHALER,"TYPE: DAILMED_PRODUCT
PRODUCT_NAME: Fluticasone Propionate and Salmeterol HFA
GENERIC_NAME: fluticasone propionate and salmeterol xinafoate
ACTIVE_INGREDIENTS: FLUTICASONE PROPIONATE | FLUTICASONE PROPIONATE | FLUTICASONE PROPIONATE | SALMETEROL XINAFOATE
STRENGTHS: 115 ug | 230 ug | 45 ug | 21 ug
NDCS: 66993-087-96
PACKAGE_DESCRIPTIONS: 1 in 1 CARTON | 120 in 1 INHALER
PUBLISHED_DATE: Mar 19, 2026
TITLE: FLUTICASONE PROPIONATE AND SALMETEROL HFA (FLUTICASONE PROPIONATE AND SALMETEROL XINAFOATE) AEROSOL, METERED [PRASCO LABORATORIES]
SETID: 666c5b12-a4f7-4c53-8261-4742b5e5a6df
SOURCE: DailyMed"
