itemid,label,fluid,category,valueuom,aliases,structured_text
51793,"Immunoglobulin G, CSF",Cerebrospinal Fluid,Chemistry,,"Immunoglobulin G, CSF | Immunoglobulin G CSF | Immunoglobulin G, CSF Cerebrospinal Fluid | Chemistry Immunoglobulin G, CSF","TYPE: LAB_TEST
DISPLAY_NAME: Immunoglobulin G, CSF
ALIASES: Immunoglobulin G, CSF | Immunoglobulin G CSF | Immunoglobulin G, CSF Cerebrospinal Fluid | Chemistry Immunoglobulin G, CSF
UNIT: 
CATEGORY: Chemistry
FLUID: Cerebrospinal Fluid
LOINC: 
ITEMID: 51793"
51796,"Miscellaneous, CSF",Cerebrospinal Fluid,Chemistry,,"Miscellaneous, CSF | Miscellaneous CSF | Miscellaneous, CSF Cerebrospinal Fluid | Chemistry Miscellaneous, CSF","TYPE: LAB_TEST
DISPLAY_NAME: Miscellaneous, CSF
ALIASES: Miscellaneous, CSF | Miscellaneous CSF | Miscellaneous, CSF Cerebrospinal Fluid | Chemistry Miscellaneous, CSF
UNIT: 
CATEGORY: Chemistry
FLUID: Cerebrospinal Fluid
LOINC: 
ITEMID: 51796"
51787,"Creatinine, CSF",Cerebrospinal Fluid,Chemistry,,"Creatinine, CSF | Creatinine CSF | Creatinine, CSF Cerebrospinal Fluid | Chemistry Creatinine, CSF","TYPE: LAB_TEST
DISPLAY_NAME: Creatinine, CSF
ALIASES: Creatinine, CSF | Creatinine CSF | Creatinine, CSF Cerebrospinal Fluid | Chemistry Creatinine, CSF
UNIT: 
CATEGORY: Chemistry
FLUID: Cerebrospinal Fluid
LOINC: 
ITEMID: 51787"
51802,"Total Protein, CSF",Cerebrospinal Fluid,Chemistry,mg/dL,"Total Protein, CSF | Total Protein CSF | Total Protein, CSF Cerebrospinal Fluid | Chemistry Total Protein, CSF","TYPE: LAB_TEST
DISPLAY_NAME: Total Protein, CSF
ALIASES: Total Protein, CSF | Total Protein CSF | Total Protein, CSF Cerebrospinal Fluid | Chemistry Total Protein, CSF
UNIT: mg/dL
CATEGORY: Chemistry
FLUID: Cerebrospinal Fluid
LOINC: 
ITEMID: 51802"
51778,Alpha-1,Cerebrospinal Fluid,Chemistry,,Alpha-1 | Alpha-1 Cerebrospinal Fluid | Chemistry Alpha-1,"TYPE: LAB_TEST
DISPLAY_NAME: Alpha-1
ALIASES: Alpha-1 | Alpha-1 Cerebrospinal Fluid | Chemistry Alpha-1
UNIT: 
CATEGORY: Chemistry
FLUID: Cerebrospinal Fluid
LOINC: 
ITEMID: 51778"
51779,Alpha-2,Cerebrospinal Fluid,Chemistry,,Alpha-2 | Alpha-2 Cerebrospinal Fluid | Chemistry Alpha-2,"TYPE: LAB_TEST
DISPLAY_NAME: Alpha-2
ALIASES: Alpha-2 | Alpha-2 Cerebrospinal Fluid | Chemistry Alpha-2
UNIT: 
CATEGORY: Chemistry
FLUID: Cerebrospinal Fluid
LOINC: 
ITEMID: 51779"
51792,"Immunoelectrophoresis, CSF",Cerebrospinal Fluid,Chemistry,,"Immunoelectrophoresis, CSF | Immunoelectrophoresis CSF | Immunoelectrophoresis, CSF Cerebrospinal Fluid | Chemistry Immunoelectrophoresis, CSF","TYPE: LAB_TEST
DISPLAY_NAME: Immunoelectrophoresis, CSF
ALIASES: Immunoelectrophoresis, CSF | Immunoelectrophoresis CSF | Immunoelectrophoresis, CSF Cerebrospinal Fluid | Chemistry Immunoelectrophoresis, CSF
UNIT: 
CATEGORY: Chemistry
FLUID: Cerebrospinal Fluid
LOINC: 
ITEMID: 51792"
51780,"Amylase, CSF",Cerebrospinal Fluid,Chemistry,,"Amylase, CSF | Amylase CSF | Amylase, CSF Cerebrospinal Fluid | Chemistry Amylase, CSF","TYPE: LAB_TEST
DISPLAY_NAME: Amylase, CSF
ALIASES: Amylase, CSF | Amylase CSF | Amylase, CSF Cerebrospinal Fluid | Chemistry Amylase, CSF
UNIT: 
CATEGORY: Chemistry
FLUID: Cerebrospinal Fluid
LOINC: 
ITEMID: 51780"
51782,"Bicarbonate, CSF",Cerebrospinal Fluid,Chemistry,,"Bicarbonate, CSF | Bicarbonate CSF | Bicarbonate, CSF Cerebrospinal Fluid | Chemistry Bicarbonate, CSF","TYPE: LAB_TEST
DISPLAY_NAME: Bicarbonate, CSF
ALIASES: Bicarbonate, CSF | Bicarbonate CSF | Bicarbonate, CSF Cerebrospinal Fluid | Chemistry Bicarbonate, CSF
UNIT: 
CATEGORY: Chemistry
FLUID: Cerebrospinal Fluid
LOINC: 
ITEMID: 51782"
51805,"Uric Acid, CSF",Cerebrospinal Fluid,Chemistry,,"Uric Acid, CSF | Uric Acid CSF | Uric Acid, CSF Cerebrospinal Fluid | Chemistry Uric Acid, CSF","TYPE: LAB_TEST
DISPLAY_NAME: Uric Acid, CSF
ALIASES: Uric Acid, CSF | Uric Acid CSF | Uric Acid, CSF Cerebrospinal Fluid | Chemistry Uric Acid, CSF
UNIT: 
CATEGORY: Chemistry
FLUID: Cerebrospinal Fluid
LOINC: 
ITEMID: 51805"
51783,"Bilirubin, Total, CSF",Cerebrospinal Fluid,Chemistry,,"Bilirubin, Total, CSF | Bilirubin Total CSF | Bilirubin, Total, CSF Cerebrospinal Fluid | Chemistry Bilirubin, Total, CSF","TYPE: LAB_TEST
DISPLAY_NAME: Bilirubin, Total, CSF
ALIASES: Bilirubin, Total, CSF | Bilirubin Total CSF | Bilirubin, Total, CSF Cerebrospinal Fluid | Chemistry Bilirubin, Total, CSF
UNIT: 
CATEGORY: Chemistry
FLUID: Cerebrospinal Fluid
LOINC: 
ITEMID: 51783"
51776,<Albumin>,Cerebrospinal Fluid,Chemistry,,<Albumin> | <Albumin> Cerebrospinal Fluid | Chemistry <Albumin>,"TYPE: LAB_TEST
DISPLAY_NAME: <Albumin>
ALIASES: <Albumin> | <Albumin> Cerebrospinal Fluid | Chemistry <Albumin>
UNIT: 
CATEGORY: Chemistry
FLUID: Cerebrospinal Fluid
LOINC: 
ITEMID: 51776"
51775,(Albumin),Cerebrospinal Fluid,Chemistry,,(Albumin) | (Albumin) Cerebrospinal Fluid | Chemistry (Albumin),"TYPE: LAB_TEST
DISPLAY_NAME: (Albumin)
ALIASES: (Albumin) | (Albumin) Cerebrospinal Fluid | Chemistry (Albumin)
UNIT: 
CATEGORY: Chemistry
FLUID: Cerebrospinal Fluid
LOINC: 
ITEMID: 51775"
51777,"Albumin, CSF",Cerebrospinal Fluid,Chemistry,,"Albumin, CSF | Albumin CSF | Albumin, CSF Cerebrospinal Fluid | Chemistry Albumin, CSF","TYPE: LAB_TEST
DISPLAY_NAME: Albumin, CSF
ALIASES: Albumin, CSF | Albumin CSF | Albumin, CSF Cerebrospinal Fluid | Chemistry Albumin, CSF
UNIT: 
CATEGORY: Chemistry
FLUID: Cerebrospinal Fluid
LOINC: 
ITEMID: 51777"
51801,"Sodium, CSF",Cerebrospinal Fluid,Chemistry,,"Sodium, CSF | Sodium CSF | Sodium, CSF Cerebrospinal Fluid | Chemistry Sodium, CSF","TYPE: LAB_TEST
DISPLAY_NAME: Sodium, CSF
ALIASES: Sodium, CSF | Sodium CSF | Sodium, CSF Cerebrospinal Fluid | Chemistry Sodium, CSF
UNIT: 
CATEGORY: Chemistry
FLUID: Cerebrospinal Fluid
LOINC: 
ITEMID: 51801"
51798,"PEP, CSF",Cerebrospinal Fluid,Chemistry,,"PEP, CSF | PEP CSF | PEP, CSF Cerebrospinal Fluid | Chemistry PEP, CSF","TYPE: LAB_TEST
DISPLAY_NAME: PEP, CSF
ALIASES: PEP, CSF | PEP CSF | PEP, CSF Cerebrospinal Fluid | Chemistry PEP, CSF
UNIT: 
CATEGORY: Chemistry
FLUID: Cerebrospinal Fluid
LOINC: 
ITEMID: 51798"
51786,Clostrid,Cerebrospinal Fluid,Chemistry,,Clostrid | Clostrid Cerebrospinal Fluid | Chemistry Clostrid,"TYPE: LAB_TEST
DISPLAY_NAME: Clostrid
ALIASES: Clostrid | Clostrid Cerebrospinal Fluid | Chemistry Clostrid
UNIT: 
CATEGORY: Chemistry
FLUID: Cerebrospinal Fluid
LOINC: 
ITEMID: 51786"
51797,"Osmolality, CSF",Cerebrospinal Fluid,Chemistry,,"Osmolality, CSF | Osmolality CSF | Osmolality, CSF Cerebrospinal Fluid | Chemistry Osmolality, CSF","TYPE: LAB_TEST
DISPLAY_NAME: Osmolality, CSF
ALIASES: Osmolality, CSF | Osmolality CSF | Osmolality, CSF Cerebrospinal Fluid | Chemistry Osmolality, CSF
UNIT: 
CATEGORY: Chemistry
FLUID: Cerebrospinal Fluid
LOINC: 
ITEMID: 51797"
51784,"Chloride, CSF",Cerebrospinal Fluid,Chemistry,,"Chloride, CSF | Chloride CSF | Chloride, CSF Cerebrospinal Fluid | Chemistry Chloride, CSF","TYPE: LAB_TEST
DISPLAY_NAME: Chloride, CSF
ALIASES: Chloride, CSF | Chloride CSF | Chloride, CSF Cerebrospinal Fluid | Chemistry Chloride, CSF
UNIT: 
CATEGORY: Chemistry
FLUID: Cerebrospinal Fluid
LOINC: 
ITEMID: 51784"
51791,HIV 1 Viral Load,Cerebrospinal Fluid,Chemistry,,HIV 1 Viral Load | HIV 1 Viral Load Cerebrospinal Fluid | Chemistry HIV 1 Viral Load,"TYPE: LAB_TEST
DISPLAY_NAME: HIV 1 Viral Load
ALIASES: HIV 1 Viral Load | HIV 1 Viral Load Cerebrospinal Fluid | Chemistry HIV 1 Viral Load
UNIT: 
CATEGORY: Chemistry
FLUID: Cerebrospinal Fluid
LOINC: 
ITEMID: 51791"
51803,"Triglycerides, CSF",Cerebrospinal Fluid,Chemistry,,"Triglycerides, CSF | Triglycerides CSF | Triglycerides, CSF Cerebrospinal Fluid | Chemistry Triglycerides, CSF","TYPE: LAB_TEST
DISPLAY_NAME: Triglycerides, CSF
ALIASES: Triglycerides, CSF | Triglycerides CSF | Triglycerides, CSF Cerebrospinal Fluid | Chemistry Triglycerides, CSF
UNIT: 
CATEGORY: Chemistry
FLUID: Cerebrospinal Fluid
LOINC: 
ITEMID: 51803"
51804,"Urea Nitrogen, CSF",Cerebrospinal Fluid,Chemistry,,"Urea Nitrogen, CSF | Urea Nitrogen CSF | Urea Nitrogen, CSF Cerebrospinal Fluid | Chemistry Urea Nitrogen, CSF","TYPE: LAB_TEST
DISPLAY_NAME: Urea Nitrogen, CSF
ALIASES: Urea Nitrogen, CSF | Urea Nitrogen CSF | Urea Nitrogen, CSF Cerebrospinal Fluid | Chemistry Urea Nitrogen, CSF
UNIT: 
CATEGORY: Chemistry
FLUID: Cerebrospinal Fluid
LOINC: 
ITEMID: 51804"
51781,Beta,Cerebrospinal Fluid,Chemistry,,Beta | Beta Cerebrospinal Fluid | Chemistry Beta,"TYPE: LAB_TEST
DISPLAY_NAME: Beta
ALIASES: Beta | Beta Cerebrospinal Fluid | Chemistry Beta
UNIT: 
CATEGORY: Chemistry
FLUID: Cerebrospinal Fluid
LOINC: 
ITEMID: 51781"
52290,Dna,I,Hematology,,Dna | Dna I | Hematology Dna,"TYPE: LAB_TEST
DISPLAY_NAME: Dna
ALIASES: Dna | Dna I | Hematology Dna
UNIT: 
CATEGORY: Hematology
FLUID: I
LOINC: 
ITEMID: 52290"
52398,FL2-%FL1,Q,Hematology,,FL2-%FL1 | FL2-%FL1 Q | Hematology FL2-%FL1,"TYPE: LAB_TEST
DISPLAY_NAME: FL2-%FL1
ALIASES: FL2-%FL1 | FL2-%FL1 Q | Hematology FL2-%FL1
UNIT: 
CATEGORY: Hematology
FLUID: Q
LOINC: 
ITEMID: 52398"
52397,FL2-D,Q,Hematology,,FL2-D | FL2-D Q | Hematology FL2-D,"TYPE: LAB_TEST
DISPLAY_NAME: FL2-D
ALIASES: FL2-D | FL2-D Q | Hematology FL2-D
UNIT: 
CATEGORY: Hematology
FLUID: Q
LOINC: 
ITEMID: 52397"
52401,SSC-D,Q,Hematology,,SSC-D | SSC-D Q | Hematology SSC-D,"TYPE: LAB_TEST
DISPLAY_NAME: SSC-D
ALIASES: SSC-D | SSC-D Q | Hematology SSC-D
UNIT: 
CATEGORY: Hematology
FLUID: Q
LOINC: 
ITEMID: 52401"
52396,FL1-S,Q,Hematology,,FL1-S | FL1-S Q | Hematology FL1-S,"TYPE: LAB_TEST
DISPLAY_NAME: FL1-S
ALIASES: FL1-S | FL1-S Q | Hematology FL1-S
UNIT: 
CATEGORY: Hematology
FLUID: Q
LOINC: 
ITEMID: 52396"
52402,SSC-S,Q,Hematology,,SSC-S | SSC-S Q | Hematology SSC-S,"TYPE: LAB_TEST
DISPLAY_NAME: SSC-S
ALIASES: SSC-S | SSC-S Q | Hematology SSC-S
UNIT: 
CATEGORY: Hematology
FLUID: Q
LOINC: 
ITEMID: 52402"
52395,FL1-%FL2,Q,Hematology,,FL1-%FL2 | FL1-%FL2 Q | Hematology FL1-%FL2,"TYPE: LAB_TEST
DISPLAY_NAME: FL1-%FL2
ALIASES: FL1-%FL2 | FL1-%FL2 Q | Hematology FL1-%FL2
UNIT: 
CATEGORY: Hematology
FLUID: Q
LOINC: 
ITEMID: 52395"
52400,FSC-S,Q,Hematology,,FSC-S | FSC-S Q | Hematology FSC-S,"TYPE: LAB_TEST
DISPLAY_NAME: FSC-S
ALIASES: FSC-S | FSC-S Q | Hematology FSC-S
UNIT: 
CATEGORY: Hematology
FLUID: Q
LOINC: 
ITEMID: 52400"
52394,FL1-D,Q,Hematology,,FL1-D | FL1-D Q | Hematology FL1-D,"TYPE: LAB_TEST
DISPLAY_NAME: FL1-D
ALIASES: FL1-D | FL1-D Q | Hematology FL1-D
UNIT: 
CATEGORY: Hematology
FLUID: Q
LOINC: 
ITEMID: 52394"
52399,FL2-S,Q,Hematology,,FL2-S | FL2-S Q | Hematology FL2-S,"TYPE: LAB_TEST
DISPLAY_NAME: FL2-S
ALIASES: FL2-S | FL2-S Q | Hematology FL2-S
UNIT: 
CATEGORY: Hematology
FLUID: Q
LOINC: 
ITEMID: 52399"
51138,Anticardiolipin Antibody IgG,Blood,Hematology,GPL,Anticardiolipin Antibody IgG | Anticardiolipin Antibody IgG Blood | Hematology Anticardiolipin Antibody IgG,"TYPE: LAB_TEST
DISPLAY_NAME: Anticardiolipin Antibody IgG
ALIASES: Anticardiolipin Antibody IgG | Anticardiolipin Antibody IgG Blood | Hematology Anticardiolipin Antibody IgG
UNIT: GPL
CATEGORY: Hematology
FLUID: Blood
LOINC: 
ITEMID: 51138"
51163,CD16/56%,Blood,Hematology,,CD16/56% | CD16/56% Blood | Hematology CD16/56%,"TYPE: LAB_TEST
DISPLAY_NAME: CD16/56%
ALIASES: CD16/56% | CD16/56% Blood | Hematology CD16/56%
UNIT: 
CATEGORY: Hematology
FLUID: Blood
LOINC: 
ITEMID: 51163"
51201,Epinepherine,Blood,Hematology,,Epinepherine | Epinepherine Blood | Hematology Epinepherine,"TYPE: LAB_TEST
DISPLAY_NAME: Epinepherine
ALIASES: Epinepherine | Epinepherine Blood | Hematology Epinepherine
UNIT: 
CATEGORY: Hematology
FLUID: Blood
LOINC: 
ITEMID: 51201"
51229,"Heparin, LMW",Blood,Hematology,IU/mL,"Heparin, LMW | Heparin LMW | Heparin, LMW Blood | Hematology Heparin, LMW","TYPE: LAB_TEST
DISPLAY_NAME: Heparin, LMW
ALIASES: Heparin, LMW | Heparin LMW | Heparin, LMW Blood | Hematology Heparin, LMW
UNIT: IU/mL
CATEGORY: Hematology
FLUID: Blood
LOINC: 
ITEMID: 51229"
51254,Monocytes,Blood,Hematology,%,Monocytes | Monocytes Blood | Hematology Monocytes,"TYPE: LAB_TEST
DISPLAY_NAME: Monocytes
ALIASES: Monocytes | Monocytes Blood | Hematology Monocytes
UNIT: %
CATEGORY: Hematology
FLUID: Blood
LOINC: 
ITEMID: 51254"
51259,Other Cells,Blood,Hematology,%,Other Cells | Other Cells Blood | Hematology Other Cells,"TYPE: LAB_TEST
DISPLAY_NAME: Other Cells
ALIASES: Other Cells | Other Cells Blood | Hematology Other Cells
UNIT: %
CATEGORY: Hematology
FLUID: Blood
LOINC: 
ITEMID: 51259"
52145,Mono Spot Test,Blood,Hematology,,Mono Spot Test | Mono Spot Test Blood | Hematology Mono Spot Test,"TYPE: LAB_TEST
DISPLAY_NAME: Mono Spot Test
ALIASES: Mono Spot Test | Mono Spot Test Blood | Hematology Mono Spot Test
UNIT: 
CATEGORY: Hematology
FLUID: Blood
LOINC: 
ITEMID: 52145"
52169,QFib,Blood,Hematology,,QFib | QFib Blood | Hematology QFib,"TYPE: LAB_TEST
DISPLAY_NAME: QFib
ALIASES: QFib | QFib Blood | Hematology QFib
UNIT: 
CATEGORY: Hematology
FLUID: Blood
LOINC: 
ITEMID: 52169"
52205,RetScat,Blood,Hematology,,RetScat | RetScat Blood | Hematology RetScat,"TYPE: LAB_TEST
DISPLAY_NAME: RetScat
ALIASES: RetScat | RetScat Blood | Hematology RetScat
UNIT: 
CATEGORY: Hematology
FLUID: Blood
LOINC: 
ITEMID: 52205"
52769,Absolute Lymphocyte Count,Blood,Hematology,#/uL,Absolute Lymphocyte Count | Absolute Lymphocyte Count Blood | Hematology Absolute Lymphocyte Count,"TYPE: LAB_TEST
DISPLAY_NAME: Absolute Lymphocyte Count
ALIASES: Absolute Lymphocyte Count | Absolute Lymphocyte Count Blood | Hematology Absolute Lymphocyte Count
UNIT: #/uL
CATEGORY: Hematology
FLUID: Blood
LOINC: 
ITEMID: 52769"
52853,Factor XII,Blood,Hematology,,Factor XII | Factor XII Blood | Hematology Factor XII,"TYPE: LAB_TEST
DISPLAY_NAME: Factor XII
ALIASES: Factor XII | Factor XII Blood | Hematology Factor XII
UNIT: 
CATEGORY: Hematology
FLUID: Blood
LOINC: 
ITEMID: 52853"
51155,CD11c,Blood,Hematology,,CD11c | CD11c Blood | Hematology CD11c,"TYPE: LAB_TEST
DISPLAY_NAME: CD11c
ALIASES: CD11c | CD11c Blood | Hematology CD11c
UNIT: 
CATEGORY: Hematology
FLUID: Blood
LOINC: 
ITEMID: 51155"
51267,Poikilocytosis,Blood,Hematology,,Poikilocytosis | Poikilocytosis Blood | Hematology Poikilocytosis,"TYPE: LAB_TEST
DISPLAY_NAME: Poikilocytosis
ALIASES: Poikilocytosis | Poikilocytosis Blood | Hematology Poikilocytosis
UNIT: 
CATEGORY: Hematology
FLUID: Blood
LOINC: 
ITEMID: 51267"
51273,"Protein S, Functional",Blood,Hematology,,"Protein S, Functional | Protein S Functional | Protein S, Functional Blood | Hematology Protein S, Functional","TYPE: LAB_TEST
DISPLAY_NAME: Protein S, Functional
ALIASES: Protein S, Functional | Protein S Functional | Protein S, Functional Blood | Hematology Protein S, Functional
UNIT: 
CATEGORY: Hematology
FLUID: Blood
LOINC: 
ITEMID: 51273"
51280,Reptilase Time,Blood,Hematology,,Reptilase Time | Reptilase Time Blood | Hematology Reptilase Time,"TYPE: LAB_TEST
DISPLAY_NAME: Reptilase Time
ALIASES: Reptilase Time | Reptilase Time Blood | Hematology Reptilase Time
UNIT: 
CATEGORY: Hematology
FLUID: Blood
LOINC: 
ITEMID: 51280"
52092,CD56 %,Blood,Hematology,,CD56 % | CD56 % Blood | Hematology CD56 %,"TYPE: LAB_TEST
DISPLAY_NAME: CD56 %
ALIASES: CD56 % | CD56 % Blood | Hematology CD56 %
UNIT: 
CATEGORY: Hematology
FLUID: Blood
LOINC: 
ITEMID: 52092"
52130,Histiocytes,Blood,Hematology,,Histiocytes | Histiocytes Blood | Hematology Histiocytes,"TYPE: LAB_TEST
DISPLAY_NAME: Histiocytes
ALIASES: Histiocytes | Histiocytes Blood | Hematology Histiocytes
UNIT: 
CATEGORY: Hematology
FLUID: Blood
LOINC: 
ITEMID: 52130"
52138,Kct,Blood,Hematology,,Kct | Kct Blood | Hematology Kct,"TYPE: LAB_TEST
DISPLAY_NAME: Kct
ALIASES: Kct | Kct Blood | Hematology Kct
UNIT: 
CATEGORY: Hematology
FLUID: Blood
LOINC: 
ITEMID: 52138"
52154,P2Y12 Reaction Units,Blood,Hematology,,P2Y12 Reaction Units | P2Y12 Reaction Units Blood | Hematology P2Y12 Reaction Units,"TYPE: LAB_TEST
DISPLAY_NAME: P2Y12 Reaction Units
ALIASES: P2Y12 Reaction Units | P2Y12 Reaction Units Blood | Hematology P2Y12 Reaction Units
UNIT: 
CATEGORY: Hematology
FLUID: Blood
LOINC: 
ITEMID: 52154"
52934,"Reticulocyte Count, Manual",Blood,Hematology,,"Reticulocyte Count, Manual | Reticulocyte Count Manual | Reticulocyte Count, Manual Blood | Hematology Reticulocyte Count, Manual","TYPE: LAB_TEST
DISPLAY_NAME: Reticulocyte Count, Manual
ALIASES: Reticulocyte Count, Manual | Reticulocyte Count Manual | Reticulocyte Count, Manual Blood | Hematology Reticulocyte Count, Manual
UNIT: 
CATEGORY: Hematology
FLUID: Blood
LOINC: 
ITEMID: 52934"
51189,CD57,Blood,Hematology,,CD57 | CD57 Blood | Hematology CD57,"TYPE: LAB_TEST
DISPLAY_NAME: CD57
ALIASES: CD57 | CD57 Blood | Hematology CD57
UNIT: 
CATEGORY: Hematology
FLUID: Blood
LOINC: 
ITEMID: 51189"
